UniprotID,Symbol,EntrezID
Q13085,ACACA,31.0
P60709,ACTB,60.0
P37023,ACVRL1,94.0
P55265,ADAR,103.0
Q96B36,AKT1S1,84335.0
P04083,ANXA1,301.0
P20073,ANXA7,310.0
P10275,AR,367.0
P10398,ARAF,369.0
P08243,ASNS,440.0
Q13315,ATM,472.0
Q92934,BAD,572.0
Q16611,BAK1,578.0
Q92560,BAP1,8314.0
Q07812,BAX,581.0
P10415,BCL2,596.0
Q07817,BCL2L1,598.0
Q14457,BECN1,8678.0
P55957,BID,637.0
Q13490,BIRC2,329.0
P15056,BRAF,673.0
P51587,BRCA2,675.0
P55210,CASP7,840.0
Q14790,CASP8,841.0
Q03135,CAV1,857.0
P14635,CCNB1,891.0
P24385,CCND1,595.0
P24864,CCNE1,898.0
O96020,CCNE2,9134.0
P12830,CDH1,999.0
P19022,CDH2,1000.0
P22223,CDH3,1001.0
P06493,CDK1,983.0
P38936,CDKN1A,1026.0
O96017,CHEK2,11200.0
O95471,CLDN7,1366.0
P12109,COL6A1,1291.0
Q9NR28,DIABLO,56616.0
O95661,DIRAS3,9077.0
Q92997,DVL3,1857.0
P13639,EEF2,1938.0
O00418,EEF2K,29904.0
P06730,EIF4E,1977.0
Q04637,EIF4G1,1981.0
P04626,ERBB2,2064.0
P21860,ERBB3,2065.0
P07992,ERCC1,2067.0
Q9UJM3,ERRFI1,54206.0
P14921,ETS1,2113.0
P49327,FASN,2194.0
P02751,FN1,2335.0
P15407,FOSL1,8061.0
Q08050,FOXM1,2305.0
P11413,G6PD,2539.0
Q9UQC2,GAB2,9846.0
P04406,GAPDH,2597.0
P23771,GATA3,2625.0
P49841,GSK3B,2932.0
P0DMV8,HSPA1A,3303.0
P18065,IGFBP2,3485.0
O15327,INPP4B,8821.0
P35568,IRS1,3667.0
P17301,ITGA2,3673.0
O60674,JAK2,3717.0
P05412,JUN,3725.0
P35968,KDR,3791.0
P10721,KIT,3815.0
P06239,LCK,3932.0
P28482,MAPK1,5594.0
P45983,MAPK8,5599.0
P45984,MAPK9,5601.0
Q00987,MDM2,4193.0
O15151,MDM4,4194.0
P08581,MET,4233.0
P49959,MRE11,4361.0
P11836,MS4A1,931.0
P43246,MSH2,4436.0
P52701,MSH6,2956.0
P42345,MTOR,2475.0
P01106,MYC,4609.0
P35579,MYH9,4627.0
P35749,MYH11,4629.0
Q92597,NDRG1,10397.0
P35240,NF2,4771.0
P19838,NFKB1,4790.0
P46531,NOTCH1,4851.0
P01111,NRAS,4893.0
Q02297,NRG1,3084.0
Q99497,PARK7,11315.0
P09874,PARP1,142.0
P12004,PCNA,5111.0
Q53EL6,PDCD4,27250.0
P16284,PECAM1,5175.0
P06401,PGR,5241.0
P42336,PIK3CA,5290.0
P27986,PIK3R1,5295.0
Q06830,PRDX1,5052.0
Q8TCU6,PREX1,57580.0
Q13131,PRKAA1,5562.0
P17252,PRKCA,5578.0
P05771,PRKCB,5579.0
Q05655,PRKCD,5580.0
P60484,PTEN,5728.0
Q06124,PTPN11,5781.0
P49023,PXN,5829.0
P57735,RAB25,57111.0
Q92878,RAD50,10111.0
Q06609,RAD51,5888.0
P06400,RB1,5925.0
Q96T37,RBM15,64783.0
Q6R327,RICTOR,253260.0
Q8N122,RPTOR,57521.0
O00767,SCD,6319.0
P05121,SERPINE1,5054.0
Q9BYW2,SETD2,29072.0
P29353,SHC1,6464.0
Q15797,SMAD1,4086.0
P84022,SMAD3,4088.0
Q13485,SMAD4,4089.0
O95863,SNAI1,6615.0
Q13501,SQSTM1,8878.0
Q07955,SRSF1,6426.0
P40763,STAT3,6774.0
P42229,STAT5A,6776.0
P16949,STMN1,3925.0
P43405,SYK,6850.0
P02786,TFRC,7037.0
P21980,TGM2,7052.0
Q9NQ88,TIGAR,57103.0
P04637,TP53,7157.0
